station_id,station_name,longitude,latitude,elevation,start_date,end_date
caCCAA,Cahuilla  California,-115.173611111,32.9736111111,84.7344,2000-11-01,2015-09-30
caCCAB,Cabazon  California,-116.805277778,33.9319444444,656.844,2010-12-01,2015-09-30
caCCAE,Camp Elliot   California,-117.105555556,32.8591666667,164.2872,2004-12-01,2015-12-31
caCCAH,Cahoon California,-121.510833333,36.3469444444,682.752,1990-05-01,1997-04-30
caCCAL,Callahan          California,-122.795833333,41.3075,955.8528,1988-12-01,2015-12-31
caCCAM,Cameron Fire Station  California,-116.463055556,32.7213888889,1049.4264,1994-10-01,2015-12-31
caCCAN,Canby                California,-120.867777778,41.4341666667,1314.2976,1994-05-01,2015-07-31
caCCAR,Carrizo           California,-119.772777778,35.0963888889,758.952,1991-10-01,2015-12-31
caCCAS,Case Springs California,-117.418055556,33.445,707.136,1992-10-01,2012-11-30
caCCAT,Catheys Valley California,-120.110555556,37.4680555556,365.76,1999-01-01,2015-12-31
caCCCK,Cold Creek  California,-120.318333333,41.7816666667,1935.48,2003-08-01,2004-06-30
caCCDG,Cedar Grove  California,-118.656111111,36.7877777778,1438.656,1999-09-01,2015-06-30
caCCDZ,Cordoza Ridge  California,-121.528333333,37.1683333333,710.4888,2005-12-01,2014-04-30
caCCFA,CFA Raws  California,-120.930277778,38.38,201.168,2012-10-01,2015-12-31
caCCH2,Callahan 2  California,-122.824444444,41.3,1192.0728,2003-12-01,2006-07-31
caCCHA,Chalks California,-122.3,37.1608333333,483.108,1992-02-01,1998-06-30
caCCHB,Cheeseboro           California,-118.717222222,34.1847222222,502.92,1995-09-01,2015-12-31
caCCHC,Chico California,-121.778888889,39.7119444444,70.104,1990-05-01,2014-04-30
caCCHI,Chilao              California,-118.030277778,34.3316666667,1661.16,1986-02-01,2015-12-31
caCCHS,Chester             California,-121.085277778,40.2897222222,1379.22,1989-10-01,2015-12-31
caCCHU,Chuchupate  California,-119.0125,34.8083333333,1493.52,1999-02-01,2015-12-31
caCCLA,Claremont California,-117.706944444,34.1369444444,501.396,1998-07-01,2015-12-31
caCCLD,Cold Springs  California,-120.332777778,41.7755555556,1924.2024,2004-12-01,2015-12-31
caCCLE,Clear Creek  California,-118.1525,34.2711111111,914.4,2002-11-01,2015-12-31
caCCLK,Clark  California,-117.308888889,33.8766666667,524.256,2000-05-01,2015-12-31
caCCLO,Clover California,-120.381944444,39.8694444444,1755.648,1997-10-01,2001-11-30
caCCLV,Calaveras Road California,-121.843888889,37.5530555556,374.904,1997-05-01,2015-12-31
caCCMN,Camanche  California,-121.011111111,38.2311111111,112.1664,2002-06-01,2004-01-31
caCCMO,Case Mountain  California,-118.809166667,36.4108333333,1965.96,2002-05-01,2015-12-31
caCCO2,Corona #2  California,-117.573611111,33.8188888889,599.8464,2010-08-01,2015-12-31
caCCOA,Corona  California,-117.549166667,33.8744444444,195.072,2001-05-01,2011-12-31
caCCOH,Cohasset California,-121.768888889,39.8716666667,528.2184,1990-05-01,2015-12-31
caCCOL,Collins Baldy        California,-122.950277778,41.775,1674.2664,1991-07-01,2015-12-31
caCCON,Converse California,-116.913055556,34.1941666667,1712.3664,1997-06-01,2015-11-30
caCCOO,Cooskie Mountain     California,-124.266111111,40.2569444444,899.16,1985-05-01,2015-12-31
caCCOR,Corralitos California,-121.797777778,36.9911111111,137.16,1990-05-01,2015-12-31
caCCOU,County Line         California,-122.411944444,39.0188888889,635.508,1994-10-01,2015-12-31
caCCOV,Covington  California,-116.334166667,34.0533333333,1416.1008,2001-07-01,2004-02-29
caCCOW,Cow Mountain        California,-123.119444444,39.1877777778,664.464,1995-06-01,1995-06-30
caCCOY,Coyote  California,-120.476666667,39.9877777778,1691.0304,2006-10-01,2015-12-31
caCCP6,Camp 6  California,-123.876388889,41.8308333333,1151.5344,2003-07-01,2007-06-30
caCCP9,Camp 9 California,-118.421666667,34.3616666667,1219.2,1995-09-01,2015-12-31
caCCRA,Crane Flat Lookout   California,-119.824722222,37.7616666667,2025.0912,1991-11-01,2015-12-31
caCCRE,Crestview         California,-118.983333333,37.745,2316.48,1993-11-01,2015-12-31
caCCRN,Corning California,-122.169722222,39.9388888889,89.6112,1998-10-01,2015-12-31
caCCRR,Carpenter Ridge  California,-121.5825,40.0686111111,1466.6976,2000-06-01,2015-12-31
caCCRT,Cranston  California,-116.841388889,33.7402777778,594.36,2002-02-01,2015-12-31
caCCRY,Crystal Lake (BAER)  California,-117.841666667,34.3180555556,1660.5504,2003-01-01,2005-06-30
caCCRZ,Crazy Peak          California,-123.603611111,41.9919444444,1210.056,1985-01-01,2015-12-31
caCCS2,Casitas  California,-119.370277778,34.4080555556,195.072,2004-01-01,2015-07-31
caCCSC,Campo Seco  California,-120.866388889,38.2236111111,121.6152,2004-01-01,2015-12-31
caCCSH,Cashman  California,-120.915,40.0016666667,1377.696,2001-09-01,2015-11-30
caCCST,Casitas California,-119.366666667,34.8333333333,188.976,1985-01-01,1991-09-30
caCCSX,Camp Six  California,-123.876388889,41.8308333333,1151.5344,2004-01-01,2015-12-31
caCCTH,Cathedral Canyon  California,-116.48,33.7686111111,184.404,2005-12-01,2015-12-31
caCCWM,Cow Mountain (A)   California,-123.075,39.1291666667,914.4,1985-05-01,1988-03-31
caCDAV,Davis    California,-120.558333333,39.9416666667,1889.76,2001-04-01,2001-10-31
caCDBD,Double Dome (Class III-9C)  California,-119.888888889,38.3363888889,2286.0,2009-09-01,2010-08-31
caCDEL,Delonagha California,-118.616666667,35.57,950.976,1997-09-01,2002-04-30
caCDES,Descanso   California,-116.622222222,32.8569444444,1060.704,1997-11-01,2015-12-31
caCDEX,Dexter  California,-118.771666667,37.8388888889,2432.9136,2009-09-01,2015-12-31
caCDGR,Devils Garden California,-120.671388889,41.53,1530.7056,1991-09-01,2015-12-31
caCDIA,Diablo Grande California,-121.293888889,37.3291666667,563.88,1998-08-01,2015-12-31
caCDLB,D L Bliss S P  California,-120.1,38.9677777778,2115.9216,2006-10-01,2009-10-31
caCDMC,Democrat  California,-118.630277778,35.5316666667,718.1088,2002-01-01,2015-12-31
caCDNK,Dinkey  California,-119.039444444,37.0663888889,1727.6064,2000-06-01,2015-12-31
caCDNO,Delnorte California,-119.654166667,34.0091666667,243.84,1999-12-01,2010-11-30
caCDOG,Dog Valley  California,-120.047777778,39.5619444444,1821.4848,2001-04-01,2015-12-31
caCDOR,Dorris Ranch California,-121.117222222,39.3036111111,617.22,1990-05-01,2002-09-30
caCDOU,Doublehead California,-121.067777778,41.625,1219.2,1997-03-01,1999-05-31
caCDOY,Doyle               California,-120.105555556,40.0222222222,1292.352,1987-06-01,2015-12-31
caCDP1,DWP Powerplant #1  California,-118.451111111,34.5988888889,914.4,2000-04-01,2004-06-30
caCDPA,Dos Palmas  California,-115.839722222,33.5052777778,33.528,2005-12-01,2015-12-31
caCDPP,Devils Post Pile     California,-119.093333333,37.63,2304.288,1993-11-01,2004-08-31
caCDUN,Duncan   California,-120.508888889,39.1438888889,2164.08,2001-10-01,2015-12-31
caCDUT,Dutch-Indy  California,-123.444166667,41.6438888889,704.088,2010-07-01,2015-12-31
caCDVA,Del Valle California,-118.682777778,34.4311111111,389.5344,1998-11-01,2015-12-31
caCDVR,Devore California,-117.404444444,34.2211111111,626.9736,1990-11-01,2015-12-31
caCEAG,Eagle Peak  California,-122.656944444,39.9277777778,1131.7224,1999-10-01,2015-12-31
caCEEC,Eel River Camp  California,-123.823611111,40.1383333333,135.9408,2001-07-01,2015-12-31
caCEEL,Eel River            California,-123.083333333,39.8333333333,457.2,1992-05-01,2015-12-31
caCELC,El Cariso        California,-117.411111111,33.6472222222,925.9824,1995-04-01,2015-12-31
